>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-16363848773              3          3
4-4540699710              13         10
4-261340010207             2          2
4-639180009007             3          0
4-550027102006             1          1
4-8613512140000            3          3
4-447802000251             1          1
4-989350070320             4          4
4-436990071295             3          3
4-33689008195              3          2
4-8618516404514            1          1
4-48601000066             10          8
4-351960990075             1          1
4-48601000068              4          4
4-491760003008            12         11
4-33191443850195           5          4
4-14054729226              2          2
4-8618516404525            1          1
4-38163100301              7          7
4-3319160160030            5          5
4-79167494122              1          1
4-3319120120411            4          4
4-491700600130             4          2
4-14382760061              1          1
4-351960995062             3          3
4-436990071206             7          7
4-639180009017             5          4
4-79101399984              3          3
4-14054729235              3          3
4-12085978679              5          4
4-14054729342              6          5
4-79167494175              1          1
4-33191905420157           3          1
4-491700600143             5          5
4-491760003263             1          1
4-6281107162               1          1
4-62816081412              4          4
4-19039326976              2          2
4-491700600149             2          2
4-79772539033              3          3
4-19039326975              1          1
4-38765500033              3          2
4-352061000230             6          5
4-491700600109             7          7
4-639180009020             4          2
4-8618445190000            1          1
4-447782000249             1          1
4-4367603031000            5          5
4-14054729336              3          2
4-3319127820105            1          1
4-8190542113900            1          1
4-491700600129             6          6
4-14054729233              5          4
4-861556508428             1          1
4-491700600317             2          1
4-861958457000             1          1
4-420733087400             4          4
4-331912547700002          2          2
4-447802000250             3          3
4-30971460017              3          2
4-916289015348             2          2
4-14054729330              3          2
4-16363848768              3          2
4-33695000390              1          1
4-447802000255             6          4
4-33191393490273          11         11
4-79025879015              2          2
4-79639741151              1          1
4-19039326941              1          1
4-33191485010109          27         24
4-491700600102             4          4
4-13123149273              1          1
4-491700600142             2          2
4-491700600132             5          5
4-4367603035000            3          2
4-447782000226             3          1
4-639180008987             2          0
4-447802002738             9          9
4-2348020004555            2          1
4-61415011021              2          2
4-3859812010               2          2
4-447782000244             1          0
4-158758001250             1          1
4-919820005392053          2          2
4-491700600133             3          3
4-3859812011               3          3
4-16363848775              2          1
4-447802000248             5          5
4-919937029131             1          1
4-355680200025             3          3
4-9779800000054            1          0
4-8615905380000            1          1
4-882285000001100          1          0
4-48601000063              2          2
4-8614796670000            1          1
4-240556000410             1          0
4-14054729221              7          7
4-14054729218              3          3
4-96475209002135           2          1
4-14054729207              4          4
4-33191230250019           2          2
4-861562611000             1          0
4-447782000112             3          1
4-447797707075             4          0
4-8614741040000            2          2
4-639180009006             4          1
4-14054729217              5          4
4-14054729236              3          2
4-324750004055603          5          4
4-639180008994             3          1
4-33191905420265           1          1
4-96895001059              1          1
4-989110006                2          2
4-25377890008              1          0
4-19039326982              2          2
4-19039326944              2          1
4-447782000117             1          0
4-447782000111             2          1
4-861960341474             1          1
4-33191485010200           1          1
4-447953700258             4          4
4-550112102068             2          2
4-491700600119             3          3
4-819066519754             1          1
4-8619816540000            3          2
4-201059968074             7          7
4-358508771121             8          8
4-336110000179234          1          0
4-14054729316              2          1
4-393358911007             5          3
4-14054729208              6          6
4-436760172100             1          0
4-14054729313              1          1
4-8613564840000            4          4
4-639180009014             4          3
4-61415011017              1          1
4-8190542114861            1          0
4-19039326955              1          0
4-79167494228              2          2
4-14054729315              7          7
4-861309057601             1          1
4-254722500119             2          2
4-33191905420188           2          1
4-79101399982              4          4
4-79167494226              3          3
4-21650000056              1          1
4-491700600311             2          2
4-14054729219              3          2
4-491700600115             3          3
4-447953700244             5          3
4-447802000225             1          1
4-96475209001935           1          1
4-33191905420192           2          2
4-33191905420150           1          1
4-46707000300              1          1
4-16363848770              2          1
4-882285000001101          3          0
4-8190542114862            1          1
4-447953700226             6          5
4-14054729314              1          1
4-491700600314             2          2
4-491700600103             3          2
4-8618402400000            2          2
4-8613759610000            3          3
4-639180008990             4          2
4-491700600148             7          7
4-447782000241             2          2
4-447782000248             2          2
4-387630000070             2          2
4-861304765000             1          0
4-861300013102             1          1
4-861564450907             1          1
4-33689008162              2          2
4-919026786493             3          3
4-62816081124              3          2
4-33191354770011           3          3
4-40766000110              2          2
4-252610000073             1          0
4-447802000249             4          4
4-8615100740000            1          1
4-13603399694              1          0
4-919825301036             2          1
4-3319127820076            1          1
4-358402001003             5          5
4-4528132000               1          0
4-3319136700040            2          2
4-8614784620000            2          2
4-33689002875              1          1
4-861476743000             3          1
4-19039326971              1          1
4-491700600112             3          3
4-447782000247             2          1
4-254722500116             4          3
4-79529480186              1          1
4-14054729209              2          2
4-33689008090              1          1
4-38163100302              1          1
4-359898000116             2          2
4-33689008881              1          1
4-447802002265             3          3
4-38349009223              2          2
4-33191233200027           1          1
4-919898092806             6          4
4-19039326993              1          1
4-19039326951              1          1
4-33191485010443           1          1
4-8613605320000            1          0
4-8614794030000            1          1
4-19037029973              1          1
4-4367603032000            2          2
4-8190542116893            1          1
4-62816081127              2          2
4-14047259036              1          1
4-13603399685              1          1
4-254722500121             3          3
4-19039326949              1          1
4-2203005283               3          3
4-33191689890009           1          1
4-8618450900000            1          1
4-447782000243             1          1
4-12404492436              6          6
4-218919121253             2          0
4-861527890204             1          1
4-33689008433              1          1
4-8615797420000            1          1
4-491700600312             2          2
4-19039326947              1          1
4-447953700224             7          6
4-491700600307             1          0
4-639180009011             2          1
4-336110000331418          1          1
4-4528133315               1          1
4-861565440000             1          1
4-882285000001102          1          0
4-38641003602              1          1
4-4237902626               2          2
4-19039326985              2          1
4-8614778640000            1          1
4-5025205280165            1          1
4-33191316540275           1          1
4-639180009009             1          1
4-447953700218             2          2
4-33191905420145           1          1
4-861309089201             1          1
4-14054729229              2          2
4-66923016521              1          0
4-8618482440000            1          1
4-3319127820077            1          1
4-33191905420146           1          1
4-19039326984              1          1
4-19039326948              2          2
4-14054729204              3          2
4-33191905420289           1          1
4-8614773350000            1          1
4-33689008888              4          4
4-33191972560027           1          1
